,Div,Date,Time,HomeTeam,AwayTeam,GoalsFor_H,GoalsFor_A,GoalsForHT_H,GoalsForHT_A,FTR,HTR,ShotsTaken_H,ShotsTaken_A,TShotsTaken_H,TShotsTaken_A,HomeOdds,DrawOdds,AwayOdds,Points_H,Points_A,T_GamesPlayed_H,T_GamesPlayed_A,T_GoalsFor_H,T_GoalsAg_H,T_GoalsFor_A,T_GoalsAg_A,T_ShotsTaken_H,T_ShotsFaced_H,T_ShotsTaken_A,T_ShotsFaced_A,T_TShotsTaken_H,T_TShotsFaced_H,T_TShotsTaken_A,T_TShotsFaced_A,T_Points_H,T_Points_A,T_TablePosition_H,T_TablePosition_A,T_GoalsForHT_H,T_GoalsAgHT_H,T_GoalsForHT_A,T_GoalsAgHT_A,T_Variance_H,T_Variance_A,L3M_Points_H,L3M_Points_A,T_Conversion_H,T_Accuracy_H,T_Conversion_A,T_Accuracy_A
26,D1,2006-08-11,,Bochum,Leverkusen,0.1,0.3,0.0,0.2,A,A,0.8,0.65,0.4,0.25,0.15,0.16999999999999998,0.12250000000000001,0.0,1.0,2,3,0.2,0.05,0.13333333333333333,0.06666666666666667,0.45,0.525,0.75,0.5166666666666667,0.35,0.275,0.3833333333333333,0.2833333333333333,1.0,0.5555555555555555,3.0,7.0,0.1,0.05,0.06666666666666667,0.06666666666666667,0.2681526780150274,0.25603443743111926,,,0.5714285714285715,0.7777777777777777,0.3478260869565218,0.5111111111111111
27,D1,2006-08-11,,Cottbus,Ein Frankfurt,0.0,0.1,0.0,0.1,A,A,0.8,1.0,0.35,0.45,0.11000000000000001,0.16499999999999998,0.18,0.0,1.0,2,2,0.05,0.1,0.2,0.1,0.35,0.575,0.75,0.625,0.2,0.35,0.475,0.325,0.16666666666666666,1.0,14.0,4.0,0.0,0.05,0.1,0.05,0.34342173231270434,0.1963930460928306,,,0.25,0.5714285714285715,0.4210526315789474,0.6333333333333333
28,D1,2006-08-11,,M'gladbach,Schalke 04,0.0,0.2,0.0,0.2,A,A,0.8,0.85,0.2,0.3,0.13999999999999999,0.1625,0.131,0.0,1.0,2,3,0.05,0.1,0.10000000000000002,0.16666666666666666,0.3,0.975,0.6833333333333332,0.7333333333333334,0.15000000000000002,0.575,0.4333333333333333,0.4166666666666667,0.16666666666666666,0.2222222222222222,14.0,13.0,0.05,0.05,0.10000000000000002,0.06666666666666667,0.3013486209671796,0.22751964675538452,,,0.3333333333333333,0.5000000000000001,0.23076923076923084,0.6341463414634146
29,D1,2006-08-12,,Leverkusen,Hertha,0.2,0.1,0.1,0.1,H,D,1.0,0.5,0.6,0.25,0.11000000000000001,0.16499999999999998,0.1795,1.0,0.0,4,4,0.175,0.07500000000000001,0.175,0.2,0.725,0.5875,0.5750000000000001,0.875,0.35,0.3125,0.3875,0.5,0.6666666666666666,0.41666666666666663,3.0,10.0,0.1,0.05,0.125,0.125,0.2376830799029762,0.18251187549571862,0.5555555555555555,0.4444444444444444,0.5,0.48275862068965514,0.4516129032258064,0.6739130434782609
30,D1,2006-08-13,,Hannover,Werder Bremen,0.2,0.4,0.1,0.1,A,D,0.7,0.75,0.3,0.4,0.20750000000000002,0.1825,0.1,0.0,1.0,3,3,0.06666666666666667,0.06666666666666667,0.20000000000000004,0.10000000000000002,0.38333333333333336,0.45,0.7333333333333334,0.5666666666666667,0.18333333333333335,0.21666666666666665,0.46666666666666673,0.31666666666666665,0.6666666666666666,0.7777777777777777,7.0,4.0,0.06666666666666667,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.35518037122570906,0.21706638242610668,0.6666666666666666,0.7777777777777777,0.3636363636363636,0.4782608695652174,0.4285714285714286,0.6363636363636364
31,D1,2006-08-13,,Wolfsburg,Hertha,0.0,0.0,0.0,0.0,D,D,1.0,0.5,0.75,0.2,0.1275,0.1675,0.15,0.3333333333333333,0.3333333333333333,3,5,0.10000000000000002,0.06666666666666667,0.15999999999999998,0.2,0.3666666666666667,0.65,0.56,0.9,0.18333333333333335,0.4333333333333333,0.36,0.52,0.6666666666666666,0.3333333333333333,5.0,10.0,0.06666666666666667,0.03333333333333333,0.12,0.12,0.19581608049945246,0.17713876584389696,0.6666666666666666,0.4444444444444444,0.5454545454545455,0.5,0.4444444444444444,0.6428571428571428
32,D1,2006-08-18,,Nurnberg,M'gladbach,0.1,0.0,0.1,0.0,H,H,0.55,0.55,0.35,0.3,0.0985,0.16999999999999998,0.21749999999999997,1.0,0.0,3,3,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.13333333333333333,0.65,0.4166666666666667,0.4666666666666666,0.9333333333333332,0.3666666666666667,0.3333333333333333,0.16666666666666666,0.48333333333333334,0.1111111111111111,0.1111111111111111,14.0,17.0,0.0,0.06666666666666667,0.03333333333333333,0.10000000000000002,0.16707766553411119,0.2680708533360702,0.1111111111111111,0.1111111111111111,0.1818181818181818,0.5641025641025641,0.2,0.35714285714285715
33,D1,2006-08-19,,Aachen,Schalke 04,0.0,0.1,0.0,0.0,A,D,0.6,0.55,0.35,0.35,0.231,0.18,0.0955,0.0,1.0,3,4,0.13333333333333333,0.2333333333333333,0.125,0.125,0.6666666666666666,0.7833333333333333,0.725,0.75,0.3333333333333333,0.4666666666666666,0.39999999999999997,0.3625,0.1111111111111111,0.41666666666666663,16.0,10.0,0.06666666666666667,0.13333333333333333,0.125,0.05,0.24880331629030894,0.22101856458500124,0.1111111111111111,0.5555555555555555,0.4,0.5,0.3125,0.5517241379310345
34,D1,2006-08-19,,Cottbus,Hamburg,0.2,0.2,0.0,0.1,D,A,0.85,0.75,0.5,0.6,0.2,0.16999999999999998,0.1025,0.3333333333333333,0.3333333333333333,3,3,0.03333333333333333,0.10000000000000002,0.03333333333333333,0.16666666666666666,0.5,0.7166666666666667,0.8166666666666668,0.5666666666666668,0.25,0.3833333333333333,0.45,0.3499999999999999,0.1111111111111111,0.0,15.0,18.0,0.0,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.32006380743893353,0.1862851725949084,0.1111111111111111,0.0,0.13333333333333333,0.5,0.07407407407407407,0.5510204081632653
35,D1,2006-08-19,,Dortmund,Mainz,0.1,0.1,0.0,0.0,D,D,0.85,0.3,0.5,0.2,0.08349999999999999,0.1925,0.325,0.3333333333333333,0.3333333333333333,3,3,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.10000000000000002,0.7999999999999999,0.3,0.3833333333333333,0.6833333333333332,0.4833333333333334,0.15,0.26666666666666666,0.3833333333333333,0.5555555555555555,0.2222222222222222,10.0,14.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.2404868410477822,0.28478782033242706,0.5555555555555555,0.2222222222222222,0.1379310344827586,0.6041666666666667,0.25,0.6956521739130436
