,Div,Date,Time,HomeTeam,AwayTeam,GoalsFor_H,GoalsFor_A,GoalsForHT_H,GoalsForHT_A,FTR,HTR,ShotsTaken_H,ShotsTaken_A,TShotsTaken_H,TShotsTaken_A,HomeOdds,DrawOdds,AwayOdds,Points_H,Points_A,T_GamesPlayed_H,T_GamesPlayed_A,T_GoalsFor_H,T_GoalsAg_H,T_GoalsFor_A,T_GoalsAg_A,T_ShotsTaken_H,T_ShotsFaced_H,T_ShotsTaken_A,T_ShotsFaced_A,T_TShotsTaken_H,T_TShotsFaced_H,T_TShotsTaken_A,T_TShotsFaced_A,T_Points_H,T_Points_A,T_TablePosition_H,T_TablePosition_A,T_GoalsForHT_H,T_GoalsAgHT_H,T_GoalsForHT_A,T_GoalsAgHT_A,T_Variance_H,T_Variance_A,L3M_Points_H,L3M_Points_A,T_Conversion_H,T_Accuracy_H,T_Conversion_A,T_Accuracy_A
28,SC0,2017-08-26,,Motherwell,Hearts,0.2,0.1,0.2,0.1,H,H,0.4,0.55,0.15,0.25,0.18,0.185,0.11000000000000001,1.0,0.0,4,4,0.15000000000000002,0.25,0.07500000000000001,0.175,0.375,0.6499999999999999,0.35,0.625,0.1375,0.22500000000000003,0.07500000000000001,0.2375,0.25,0.16666666666666666,10.0,11.0,0.025,0.15,0.0,0.05,0.1269609750172523,0.24194471974583026,0.3333333333333333,0.1111111111111111,1.0,0.3666666666666667,1.0,0.21428571428571433
29,SC0,2017-08-26,,Partick,Aberdeen,0.3,0.4,0.2,0.2,A,D,0.25,0.8,0.15,0.4,0.255,0.2,0.0875,0.0,1.0,4,5,0.025,0.19999999999999998,0.16,0.1,0.3125,0.5,0.59,0.41000000000000003,0.1375,0.225,0.22999999999999998,0.17,0.0,0.6666666666666666,12.0,3.0,0.025,0.125,0.06000000000000001,0.04,0.10053884696398221,0.1388235590152504,0.0,1.0,0.18181818181818182,0.44000000000000006,0.6956521739130436,0.3898305084745763
30,SC0,2017-08-27,,Dundee,Hibernian,0.1,0.1,0.1,0.1,D,D,0.25,0.8,0.15,0.45,0.2,0.1795,0.10600000000000001,0.3333333333333333,0.3333333333333333,5,4,0.1,0.13999999999999999,0.17500000000000002,0.125,0.5700000000000001,0.53,0.5625,0.5125,0.22000000000000003,0.21000000000000002,0.3,0.25,0.2,0.75,10.0,4.0,0.04,0.06000000000000001,0.07500000000000001,0.05,0.13464829505636722,0.16870236519758136,0.0,0.6666666666666666,0.45454545454545453,0.3859649122807018,0.5833333333333334,0.5333333333333333
31,SC0,2017-08-27,,Ross County,Rangers,0.1,0.3,0.0,0.2,A,A,0.4,0.7,0.1,0.15,0.2725,0.217,0.08499999999999999,0.0,1.0,4,4,0.125,0.175,0.175,0.05,0.475,0.48750000000000004,0.5375,0.4,0.1625,0.225,0.175,0.07500000000000001,0.5,0.8333333333333334,7.0,3.0,0.1,0.025,0.1,0.025,0.2195765259078813,0.15794251879245172,0.6666666666666666,0.7777777777777778,0.7692307692307692,0.34210526315789475,1.0,0.3255813953488372
32,SC0,2017-09-09,,Hearts,Aberdeen,0.0,0.0,0.0,0.0,D,D,0.9,0.55,0.45,0.2,0.186,0.1895,0.10400000000000001,0.3333333333333333,0.3333333333333333,5,6,0.08,0.18,0.20000000000000004,0.13333333333333333,0.39,0.58,0.625,0.38333333333333336,0.11000000000000001,0.21999999999999997,0.2583333333333333,0.16666666666666666,0.13333333333333333,0.7222222222222222,11.0,3.0,0.02,0.08,0.08333333333333333,0.06666666666666667,0.24697327763076443,0.13149853365922393,0.1111111111111111,1.0,0.7272727272727272,0.2820512820512821,0.774193548387097,0.4133333333333333
33,SC0,2017-09-09,,Motherwell,Kilmarnock,0.2,0.0,0.0,0.0,H,D,0.75,0.25,0.4,0.1,0.1115,0.18,0.181,1.0,0.0,5,5,0.16,0.22000000000000003,0.13999999999999999,0.16,0.38,0.6299999999999999,0.39999999999999997,0.53,0.14,0.23000000000000004,0.15,0.18000000000000002,0.4,0.4666666666666667,7.0,5.0,0.06000000000000001,0.13999999999999999,0.06000000000000001,0.06000000000000001,0.15498628184790206,0.21522078194246036,0.6666666666666666,0.4444444444444444,1.0,0.368421052631579,0.9333333333333332,0.375
34,SC0,2017-09-09,,Rangers,Dundee,0.4,0.1,0.1,0.0,H,H,0.95,0.35,0.5,0.05,0.0675,0.28450000000000003,0.5,1.0,0.0,5,6,0.2,0.06000000000000001,0.09999999999999999,0.13333333333333333,0.57,0.4,0.5166666666666667,0.5750000000000001,0.16999999999999998,0.08,0.20833333333333334,0.25,0.8666666666666668,0.2222222222222222,3.0,10.0,0.12000000000000002,0.02,0.05000000000000001,0.06666666666666667,0.14344123691168648,0.1569561904322436,0.7777777777777777,0.1111111111111111,1.0,0.2982456140350877,0.4799999999999999,0.4032258064516129
35,SC0,2017-09-09,,Ross County,Partick,0.1,0.1,0.0,0.1,D,A,0.8,0.45,0.3,0.25,0.1305,0.177,0.141,0.3333333333333333,0.3333333333333333,5,5,0.12,0.2,0.08,0.24,0.45999999999999996,0.53,0.3,0.5599999999999999,0.15,0.21000000000000002,0.14,0.26,0.4,0.0,8.0,12.0,0.08,0.06000000000000001,0.06000000000000001,0.13999999999999999,0.19274844260403015,0.09940575894700407,0.3333333333333333,0.0,0.8,0.32608695652173914,0.5714285714285714,0.46666666666666673
36,SC0,2017-09-09,,St Johnstone,Hibernian,0.1,0.1,0.0,0.0,D,D,0.25,0.75,0.05,0.1,0.1555,0.1795,0.12250000000000001,0.3333333333333333,0.3333333333333333,5,5,0.1,0.16,0.16,0.12,0.34,0.69,0.61,0.45999999999999996,0.12000000000000002,0.39,0.32999999999999996,0.22999999999999998,0.4666666666666667,0.6666666666666667,7.0,4.0,0.08,0.04,0.08,0.06000000000000001,0.22515945300012033,0.18866102562039017,0.7777777777777778,0.4444444444444444,0.8333333333333333,0.35294117647058826,0.4848484848484849,0.540983606557377
37,SC0,2017-09-12,,Hamilton,St Johnstone,0.0,0.1,0.0,0.0,A,D,0.5,0.35,0.1,0.15,0.1375,0.16999999999999998,0.1375,0.0,1.0,6,6,0.15,0.19999999999999998,0.09999999999999999,0.15,0.5499999999999999,0.5833333333333334,0.325,0.6999999999999998,0.2666666666666667,0.23333333333333336,0.10833333333333335,0.3416666666666666,0.3333333333333333,0.4444444444444445,9.0,6.0,0.016666666666666666,0.09999999999999999,0.06666666666666667,0.03333333333333333,0.2243143811663194,0.23154817230768476,0.4444444444444444,0.5555555555555555,0.5624999999999999,0.48484848484848503,0.9230769230769228,0.33333333333333337
